No teiku master tabulas,Garais nosaukums,Kods,Veids,,,,,,
"""Pasaku vācelīte.""","""Pasaku vācelīte""",PV,apkopojums,,,,,,
"""Pasaku vācelīte"".","""Pasaku vācelīte""",PV,apkopojums,,,,,,
"""Pasaku vācelīte"".","""Pasaku vācelīte""",PV,apkopojums,,,,,,
"""Pasaku vācelīte"".","""Pasaku vācelīte""",PV,apkopojums,,,,,,
A. Aizsila kr,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsila kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsila kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsila kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsila kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsila kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsila kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsila kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsila kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsila kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsila kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsila kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsila kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsila kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsila kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsila kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsila kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsila kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsila kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsiļa kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsiļa kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsiļa kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsiļa kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsiļa kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
A. Aizsila krājums.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
Aizsila kr.,"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,apkopojums,1926,,,,,
"Pasakas, 37, 17.","Alfreds ""Pasakas""",AP,apkopojums,,,,,,
Atbalss kalendārs 1894.,Atbalss,Atbalss,periodika,,,,,,
Atbalss kalendārs 1894. 31.,Atbalss,Atbalss,periodika,,,,,,
"Drachen-Mythus 50, 85.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus 68, 110.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 10, 7.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 10, 8.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 12, 10.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 13, 11.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 14, 13.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 15, 14.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 15, 15.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 17, 20.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 17, 21.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 18, 22.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 18, 23.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 19, 25.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 20, 26.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 21, 28.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 22, 29.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 23, 30.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 24, 31.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 25, 33.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 26, 34.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 26, 35.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 27, 36.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 27, 57.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 28, 38.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 29, 39.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 29, 40.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 29, 40.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 32, 42.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
"Drachen-Mythus, 32, 43.","Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,apkopojums,1892,,,,,
