Nosaukums,Saīsinājums,Kategorija,,,
"Švābe Arveds ""Latvju tautas pasakas""",ŠA,publicēti materiāli,,,
"Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas""",LPA,publicēti materiāli,,,
"Lerhis-Puškaitis, A. ""Latviešu tautas teikas un pasakas"" 7. sējuma II daļa",LPA-7,nepublicēti materiāli,,,
"""Kultūras Balss"" krājums",KB,publicēti materiāli,,,
"""Pasaku vācelīte""",PV,publicēti materiāli,,,
"Abuls Pēteris ""Skolas Druva""",AbP,publicēti materiāli,,,
"Aizsils Arvīds ""Pasaku un teiku izlase"" ",AA,publicēti materiāli,,,
"Alfreds ""Pasakas""",AP,publicēti materiāli,,,
"Andrejanoff Victor von  ""Lettische Märchen""",VVA,publicēti materiāli,,,
Atbalss,Atbalss,publicēti materiāli,,,
"Auning Robert ""Ueber den lettischen Drachen-Mythus (Puhkis)""",AR,publicēti materiāli,,,
"Auseklis ""Izlasīti raksti""",Auseklis,publicēti materiāli,,,
Austrums,Austrums,publicēti materiāli,,,
Balss,Balss,publicēti materiāli,,,
Baltijas jūrnieku kalendārs,BJK,publicēti materiāli,,,https://www.digar.ee/arhiiv/et/raamatud/164944
Baltijas Vēstnesis,BV,publicēti materiāli,,,
Baltische Monatsschrift,BaM,publicēti materiāli,,,
"Bankins Jānis ""Šis un tas, svešs un pats""",BJ,publicēti materiāli,,,
"Barons Krišjānis ""Latvju dainas""",LD,publicēti materiāli,,,
Baznīcas Vēstnesis,BaV,publicēti materiāli,,,
Bērnu Pastinieks,BP,publicēti materiāli,,,
"Bērziņš Pēteris ""Lasāmā grāmata skolas bērniem""",PeB,publicēti materiāli,,,
Bērzkalnes Annas krājums,BA,nepublicēti materiāli,,,
"Bienemann Friedrich ""Livländisches sagenbuch""",BF,publicēti materiāli,,,
"Bīlenšteins Hans ""Das lettische Thiermärchen""",BA-T,publicēti materiāli,,,
"Birkerts Pēteris ""Latvju tautas anekdotes""",BiP,publicēti materiāli,,,
"Boehm Maximilian ""Lettisch-litauische volksmärchen""",BoM,publicēti materiāli,,,
"Böhm Christian, Boehm Max  ""Deutsches Lesebuch für die mittleren Lehranstalten.""",BC,publicēti materiāli,,,
"Böhm Max ""Lettische schwänke und verwandte Volksüberlieferungen""",BM,publicēti materiāli,,,
Brīvā Zeme,BZ,publicēti materiāli,,,
"Brīvzemnieks Fricis ""Mūsu tautas pasakas""",BF-MTP,publicēti materiāli,,,
"Brīvzemnieks Fricis ""Sbornik materialov po etnografii""",BF-Sborņik,publicēti materiāli,,,
Brīvzemnieks Fricis krājums,BF-Krājums,nepublicēti materiāli,,,
Celmiņa Mārtiņa krājums,CM,nepublicēti materiāli,,,
Corbika Kārļa krājums,CK,nepublicēti materiāli,,,
"Cunska Staņislava ""Latvīšu tautas posokas""",CS,publicēti materiāli,,,
"Dähnhardt Oskar ""Natursagen""",DO,publicēti materiāli,,,
Dienas Lapa,DL,publicēti materiāli,,,
Dievs un Velns,DV,publicēti materiāli,,,
Dundurs Pats,Dundurs,publicēti materiāli,,,
Dzintarkalna Teodora krājums,DzT,nepublicēti materiāli,,,
"Fabricius, Dionysius. Livonicae Historiae",FD,publicēti materiāli,,,
Filologu biedrības raksti,FBK,publicēti materiāli,,,
"Heerwagen Ludwig ""Skolas maize""",HL,publicēti materiāli,,,
"Hupelis Augusts Vilhelms ""Topographische Nachrichten von Lief- und Ehstland""",HAV,publicēti materiāli,,,
